trade_id,entry_date,entry_vix,entry_ask,strike,exit_date,exit_vix,exit_bid,days_held,roi_bid,exit_reason,note
1,2024-01-15,17.2,4.80,21,2024-02-08,20.1,6.28,24,30.8,AE,
2,2024-03-20,16.8,4.62,21,2024-04-12,24.4,7.55,23,63.2,AE,
3,2024-05-01,17.5,4.91,21,2024-05-29,14.8,3.88,28,-21.0,AE,
4,2024-06-10,16.2,4.51,20,2024-07-05,22.1,8.33,25,84.6,AE,
5,2024-07-22,18.1,5.10,22,2024-08-09,38.2,12.23,18,139.8,AE,VIX spike to 38
6,2024-09-05,16.9,4.65,21,2024-09-27,15.4,3.82,22,-17.9,AE,
7,2024-10-15,17.3,4.85,21,2024-11-08,14.7,3.65,24,-24.8,AE,
8,2024-11-25,15.8,4.40,19,2024-12-20,18.9,6.08,25,38.2,AE,
9,2025-01-10,16.4,4.56,20,2025-02-03,14.8,3.15,24,-31.0,AE,
10,2025-02-20,17.1,4.79,21,2025-03-31,34.5,13.01,39,171.4,AE,COVID-style spike to 34
11,2025-04-15,16.7,4.63,21,2025-05-09,14.2,3.05,24,-34.2,AE,
12,2025-05-28,17.8,4.98,22,2025-06-14,21.3,6.98,17,40.1,AE,
